,lat,lon,activity
233,-43.590334793552756,172.56653415039182,activity_21767060640.gpx
234,-43.59032850712538,172.5665589608252,activity_21767060640.gpx
235,-43.59032808803022,172.56660061888397,activity_21767060640.gpx
236,-43.590331273153424,172.56663565523922,activity_21767060640.gpx
237,-43.590329848229885,172.56666105240583,activity_21767060640.gpx
238,-43.59033680520952,172.56670153699815,activity_21767060640.gpx
239,-43.5903412476182,172.566735483706,activity_21767060640.gpx
240,-43.590338146314025,172.56676180288196,activity_21767060640.gpx
241,-43.590345438569784,172.56679583340883,activity_21767060640.gpx
242,-43.5903600230813,172.56680991500616,activity_21767060640.gpx
243,-43.59037276357412,172.56682097911835,activity_21767060640.gpx
244,-43.5903964843601,172.56683422252536,activity_21767060640.gpx
245,-43.59041609801352,172.566846460104,activity_21767060640.gpx
246,-43.590428084135056,172.56686573848128,activity_21767060640.gpx
247,-43.59044501557946,172.5668980088085,activity_21767060640.gpx
248,-43.59045892953873,172.56692986004055,activity_21767060640.gpx
249,-43.59046597033739,172.56695332936943,activity_21767060640.gpx
250,-43.59047368168831,172.5669850129634,activity_21767060640.gpx
251,-43.5904810577631,172.56701820529997,activity_21767060640.gpx
252,-43.590477369725704,172.56704527884722,activity_21767060640.gpx
253,-43.59047125093639,172.56707235239446,activity_21767060640.gpx
254,-43.590480806306005,172.56710755638778,activity_21767060640.gpx
255,-43.59049245715141,172.56713571958244,activity_21767060640.gpx
256,-43.59050025232136,172.56715868599713,activity_21767060640.gpx
257,-43.590522883459926,172.567190034315,activity_21767060640.gpx
258,-43.59053956344724,172.56721165962517,activity_21767060640.gpx
259,-43.590549789369106,172.56723538041115,activity_21767060640.gpx
260,-43.5905672237277,172.56726463325322,activity_21767060640.gpx
261,-43.59057979658246,172.5672873482108,activity_21767060640.gpx
262,-43.59058767557144,172.5673126615584,activity_21767060640.gpx
263,-43.59060854651034,172.56733898073435,activity_21767060640.gpx
264,-43.59062070026994,172.56736228242517,activity_21767060640.gpx
265,-43.59062723815441,172.5673864223063,activity_21767060640.gpx
266,-43.59064727090299,172.5674160104245,activity_21767060640.gpx
267,-43.59065959230065,172.5674366299063,activity_21767060640.gpx
268,-43.590670404955745,172.56746135652065,activity_21767060640.gpx
269,-43.59068767167628,172.56748876534402,activity_21767060640.gpx
270,-43.59070057980716,172.56751106120646,activity_21767060640.gpx
271,-43.59070678241551,172.56753478199244,activity_21767060640.gpx
272,-43.59072245657444,172.5675624422729,activity_21767060640.gpx
273,-43.5907382145524,172.56758876144886,activity_21767060640.gpx
274,-43.590747602283955,172.56761281751096,activity_21767060640.gpx
275,-43.59076218679547,172.56764634512365,activity_21767060640.gpx
276,-43.59077903442085,172.5676718261093,activity_21767060640.gpx
277,-43.590786745771766,172.56769294850528,activity_21767060640.gpx
278,-43.590802839025855,172.56772329099476,activity_21767060640.gpx
279,-43.590819016098976,172.56774826906621,activity_21767060640.gpx
280,-43.590832678601146,172.56776863709092,activity_21767060640.gpx
281,-43.590843323618174,172.5677923578769,activity_21767060640.gpx
282,-43.590860506519675,172.56781423464417,activity_21767060640.gpx
283,-43.59087450429797,172.56783577613533,activity_21767060640.gpx
284,-43.5908801201731,172.56785572506487,activity_21767060640.gpx
285,-43.5908867418766,172.5678883306682,activity_21767060640.gpx
286,-43.59088615514338,172.56791649386287,activity_21767060640.gpx
287,-43.59087877906859,172.56793677806854,activity_21767060640.gpx
288,-43.590873749926686,172.56796611472964,activity_21767060640.gpx
289,-43.590863859280944,172.5679977145046,activity_21767060640.gpx
290,-43.59085002914071,172.5680156517774,activity_21767060640.gpx
291,-43.59083779156208,172.56804197095335,activity_21767060640.gpx
292,-43.590833600610495,172.5680783484131,activity_21767060640.gpx
293,-43.59082957729697,172.56810324266553,activity_21767060640.gpx
294,-43.590818429365754,172.5681208446622,activity_21767060640.gpx
295,-43.59080208465457,172.568141464144,activity_21767060640.gpx
296,-43.59078397974372,172.56816082634032,activity_21767060640.gpx
297,-43.59076805412769,172.56817063316703,activity_21767060640.gpx
298,-43.59074802137911,172.56819133646786,activity_21767060640.gpx
299,-43.59072497114539,172.5682122912258,activity_21767060640.gpx
300,-43.590705106034875,172.56822645664215,activity_21767060640.gpx
301,-43.59068683348596,172.568241879344,activity_21767060640.gpx
302,-43.590672416612506,172.56826241500676,activity_21767060640.gpx
303,-43.590655736625195,172.56828177720308,activity_21767060640.gpx
304,-43.590641152113676,172.56829644553363,activity_21767060640.gpx
305,-43.5906227119267,172.56831312552094,activity_21767060640.gpx
306,-43.5906055290252,172.56833751685917,activity_21767060640.gpx
307,-43.590589854866266,172.56835008971393,activity_21767060640.gpx
308,-43.59056990593672,172.56837054155767,activity_21767060640.gpx
309,-43.59055247157812,172.5683965254575,activity_21767060640.gpx
310,-43.59053838998079,172.56841706112027,activity_21767060640.gpx
311,-43.59051760286093,172.5684327352792,activity_21767060640.gpx
312,-43.590495055541396,172.56845846772194,activity_21767060640.gpx
313,-43.5904757771641,172.5684790033847,activity_21767060640.gpx
314,-43.59046001918614,172.56849065423012,activity_21767060640.gpx
315,-43.59044107608497,172.5685054063797,activity_21767060640.gpx
316,-43.59042339026928,172.5685315579176,activity_21767060640.gpx
317,-43.59041123650968,172.5685492437333,activity_21767060640.gpx
318,-43.59039698727429,172.56857606582344,activity_21767060640.gpx
319,-43.5903843306005,172.5686076655984,activity_21767060640.gpx
320,-43.59036949463189,172.56863138638437,activity_21767060640.gpx
321,-43.590356251224875,172.56864689290524,activity_21767060640.gpx
322,-43.59035055153072,172.5686697755009,activity_21767060640.gpx
323,-43.59035113826394,172.5686843600124,activity_21767060640.gpx
324,-43.59034904278815,172.56868603639305,activity_21767060640.gpx
325,-43.59034853987396,172.56868067197502,activity_21767060640.gpx
326,-43.59035105444491,172.5686790794134,activity_21767060640.gpx
327,-43.590347953140736,172.56867974996567,activity_21767060640.gpx
328,-43.5903428401798,172.56868385709822,activity_21767060640.gpx
329,-43.590338649228215,172.5686872098595,activity_21767060640.gpx
330,-43.59033403918147,172.56869047880173,activity_21767060640.gpx
331,-43.590329848229885,172.56870430894196,activity_21767060640.gpx
332,-43.59033236280084,172.56871227174997,activity_21767060640.gpx
333,-43.590330854058266,172.56871067918837,activity_21767060640.gpx
334,-43.5903309378773,172.56871185265481,activity_21767060640.gpx
335,-43.59033202752471,172.56871461868286,activity_21767060640.gpx
336,-43.59033286571503,172.56871805526316,activity_21767060640.gpx
337,-43.59033211134374,172.56871847435832,activity_21767060640.gpx
338,-43.59033395536244,172.56871193647385,activity_21767060640.gpx
339,-43.590335715562105,172.56869986653328,activity_21767060640.gpx
340,-43.59033387154341,172.56868469528854,activity_21767060640.gpx
341,-43.5903309378773,172.56868176162243,activity_21767060640.gpx
342,-43.590331356972456,172.56867723539472,activity_21767060640.gpx
343,-43.59033848159015,172.56867396645248,activity_21767060640.gpx
344,-43.59034426510334,172.56866692565382,activity_21767060640.gpx
345,-43.59034954570234,172.56866483017802,activity_21767060640.gpx
346,-43.59035247936845,172.56866591982543,activity_21767060640.gpx
347,-43.59035247936845,172.56867312826216,activity_21767060640.gpx
348,-43.59034946188331,172.56868050433695,activity_21767060640.gpx
349,-43.590345522388816,172.56868729367852,activity_21767060640.gpx
350,-43.59035164117813,172.56868754513562,activity_21767060640.gpx
351,-43.590350886806846,172.56868704222143,activity_21767060640.gpx
