Activity Type,Date,Title,activity,Island,Location,Distance (km),Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent (m),Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Rating,Links,Comments
Running,20/12/2025 19:01,Ashburton - Base,Ashburton,South Island,,7.53,479,0:57:41,172,184,5,156,167,7:40,6:28,19,16,0.83,10.4,8.6,301,7:40,218,0,216,307,--,--,--,"8,948",--,--,-27,17,No,00:16.5,9,26,0:57:39,0:57:41,86,98,,,
Running,21/12/2025 17:24,Ashburton Running,Ashburton Domain,South Island,,5,317,0:36:00,164,183,5,158,169,7:12,5:32,15,13,0.88,10.1,8.8,294,7:11,235,0,232,336,--,--,--,"5,668",--,--,-16,21,No,00:03.8,6,27,0:35:52,0:36:00,103,112,,,
Running,23/12/2025 17:38,Ashburton Running,Ashburton,South Island,,4.19,267,0:29:43,162,176,4.7,158,167,7:05,6:03,11,8,0.9,10,8.9,293,7:03,234,0,233,297,--,--,--,"4,678",--,--,-8,25,No,01:22.6,5,28,0:29:41,0:29:43,92,100,,,
Hiking,25/12/2025 15:38,Windwhistle Walking,Rakaia Gorge Walkway 2,South Island,Rakaia,3.48,290,1:22:23,102,147,1.8,55,160,23:40,6:19,196,201,0.78,--,--,--,--,--,0,--,--,--,--,--,"5,630",--,--,-5,19,No,07:43.1,4,26,0:51:20,1:22:23,280,359,4.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/rakaia-gorge-walkway,
Hiking,28/12/2025 12:22,Ashburton Lakes Walking,Mount Sunday Track,South Island,Ashburton,2.01,198,1:06:12,87,161,2.2,37,160,32:52:00,6:11,98,6,0.84,--,--,--,--,--,0,--,--,--,--,--,"2,820",--,--,-8,21,No,00:01.1,4,27,0:29:34,2:01:37,515,615,9-Oct,https://www.alltrails.com/trail/new-zealand/canterbury/mount-sunday-track--3,
Running,28/12/2025 17:54,Ashburton Running,Ashburton,South Island,,5.3,342,0:37:20,166,180,5,159,165,7:03,5:35,20,16,0.89,9.9,8.9,292,7:02,236,0,235,302,--,--,--,"5,916",--,--,-12,23,No,02:06.2,6,29,0:37:19,0:37:20,89,103,,,
Running,19/1/2026 17:13,Cromwell - Base,Cromwell,South Island,,5.08,353,0:36:29,176,195,5,155,166,7:11,5:45,67,44,0.9,10,9,298,7:00,250,0,242,374,--,--,--,"5,652",--,--,--,30,No,01:43.9,6,38,0:36:26,0:36:29,192,215,,,
Running,28/1/2026 15:17,Cromwell - Base,Cromwell,South Island,,6.28,419,0:45:47,162,186,5,158,173,7:17,4:47,54,51,0.88,10,8.7,292,7:15,235,0,229,357,--,--,--,"7,226",--,--,-9,28,No,00:27.3,8,32,0:45:45,0:45:47,198,213,,,
Hiking,30/1/2026 18:39,Hanmer Springs Walking,Conical Hill Loop Track,South Island,Hanmer Springs,2.91,263,1:06:55,100,136,2.4,53,231,22:57,5:05,157,158,0.91,--,--,--,--,--,0,--,--,--,--,--,"3,940",--,--,-4,25,No,0:14:00,3,35,0:37:22,1:06:55,422,561,6-Oct,https://www.alltrails.com/trail/new-zealand/canterbury/conical-hill-loop-trail,
Hiking,4/2/2026 15:02,Waipara Walking,Tiromoana Bush Walk,South Island,Amberly ,12.72,"1,056",4:00:44,114,177,3.3,72,236,18:56,7:04,689,691,0.73,--,--,--,--,--,0,--,--,--,--,--,"18,256",--,--,-28,20,No,0:10:44,13,31,2:58:32,4:00:45,3,359,6.5/10,https://www.alltrails.com/trail/new-zealand/canterbury/tiromoana-bush-walk,
Running,5/2/2026 9:45,Christchurch - Base,Halswell Quarry,South Island,,6.18,463,0:53:06,157,187,5,134,250,8:36,5:25,48,48,0.92,9.9,8.8,294,8:22,240,0,200,356,--,--,--,"7,220",--,--,-23,24,No,01:26.2,7,28,0:44:59,0:53:06,14,41,,,
